level,name,defense,evasion,ranged_evasion,magic_defense,fire_resistance,water_resistance,light_resistance,dark_resistance,all_resistance,attack,morale,speed,below_level_x_damage_received,below_level_x_damage_received_reduced,close_attacks_chance,close_attacks_received,attacks_chance,attacks_multiplier,crit_chance_reduced,critical_damage_received_reduced,ranged_damage_received,random_ranged_damage_received_chance,random_ranged_damage_received_reduced,random_magic_damage_received,random_magic_damage_received_chance,pvp_defense_reduced,effect_chance,effect_name,fire_damage,water_damage,light_damage,dark_damage,all_element_damage,increase_damage,increase_damage_chance,catsy_damage,high_level_plant_damage,high_level_pet_damage,high_level_monster_damage,all_resistance_decrease,fire_resistance_decrease,water_resistance_decrease,light_resistance_decrease,dark_resistance_decrease,pvp_damage_increase,critical_damage_increase,mp_removal,hit_rate_increase,random_damage_reduced,random_damage_reduced_chance,magic_damage_increase,mp_increase,defense_ignore,defense_ignore_chance,pvp_defense_increase,critical_chance_increase,hp,hp_recovery,mp_recovery,mp_usage_decrease,magic_attack
78,Ridyarce,,,,,,,,,5,,,,,,100,8,15,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Honorable: Golden Robe of the Bandits Band,,,,,,,,,3,,,,,,80,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,
85,Golden Toga of the Bandits Band,,,,,,,,,3,,,,,,10,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Honorable: Commander's robe,,,,,,,,,2,,,,,,,,,,5,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,2500,,,,
88,Toga lucid of the Bandits Band,,,,,,,,,,,,,,,15,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,,,,,,,,,100
90,Commander's toga,,,,,,,,,2,,,,,,,,,,7,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,,,,
90,Dress of the forgotten hero +10,,,,,,,,,2,,,,,,,,,,7,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000,,,,
93,Dress of the fiery Phoenix,,,,,,,,,5,,,,,,,,,,9,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000,,,,
96,Shining Gral's dress,,,,,,,,,10,,,,,,,,,,11,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7000,,,,
28Hero,Inferno dress,,,,,,,,,10,,,,,,,,,,11,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7000,,,,
28Hero,Veste Paradiso sealed,,,,,,,,,10,,,,,,,,,,11,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7000,,,,
48Hero,The garment of the Mago Mukraju,,,,,,,,,10,,,,,,,,,,11,,,,,,,,2,knowledge of mukraju,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8500,,,,
